"from","to"
"Klebsiella.aerogenes.PTR","Enterobacter.hormaechei.abundance"
"Klebsiella.aerogenes.PTR","Enterobacter.hormaechei.PTR"
"Klebsiella.aerogenes.PTR","Enterobacter.sp..HK169.abundance"
"Klebsiella.aerogenes.PTR","Enterobacter.sp..HK169.PTR"
"Klebsiella.aerogenes.PTR","Enterobacter.asburiae.abundance"
"Klebsiella.aerogenes.PTR","Enterobacter.asburiae.PTR"
"Klebsiella.aerogenes.PTR","Klebsiella.sp..M5al.abundance"
"Klebsiella.aerogenes.PTR","Klebsiella.sp..M5al.PTR"
"Klebsiella.aerogenes.PTR","Veillonella.parvula.abundance"
"Klebsiella.aerogenes.PTR","Veillonella.parvula.PTR"
"Klebsiella.aerogenes.PTR","Enterobacter.sp..DKU_NT_01.abundance"
"Klebsiella.aerogenes.PTR","Enterobacter.sp..DKU_NT_01.PTR"
"Klebsiella.aerogenes.PTR","Enterobacter.sp..CRENT.193.abundance"
"Klebsiella.aerogenes.PTR","Enterobacter.sp..CRENT.193.PTR"
"Klebsiella.aerogenes.PTR","Enterobacteriaceae.bacterium.S05.abundance"
"Klebsiella.aerogenes.PTR","Enterobacteriaceae.bacterium.S05.PTR"
"Klebsiella.aerogenes.PTR","Citrobacter.abundance"
"Klebsiella.aerogenes.PTR","Citrobacter.PTR"
"Klebsiella.aerogenes.PTR","ARO.3000319mphC"
"Klebsiella.aerogenes.PTR","ARO.3003551emeA"
"Klebsiella.aerogenes.PTR","ARO.3003046qacA"
"Klebsiella.aerogenes.PTR","ARO.3001057TEM.198"
"Klebsiella.aerogenes.PTR","ARO.3004588Klebsiella"
"Klebsiella.aerogenes.PTR","ARO.3000804MexF"
"Klebsiella.aerogenes.PTR","ARO.3002985arnA"
"Klebsiella.aerogenes.PTR","ARO.3004075MuxC"
"Klebsiella.aerogenes.PTR","ARO.3004074MuxB"
"Klebsiella.aerogenes.PTR","ARO.3002865dfrC"
"Klebsiella.aerogenes.PTR","ARO.3002660APH.6..Id"
"Klebsiella.aerogenes.PTR","ARO.3003052smeB"
"Klebsiella.aerogenes.PTR","ARO.3000936TEM.70"
"Klebsiella.aerogenes.PTR","ARO.3000616mel"
"Klebsiella.aerogenes.PTR","ARO.3000375ErmB"
"Klebsiella.aerogenes.PTR","ARO.3002639APH.3....Ib"
"Klebsiella.aerogenes.PTR","ARO.3002819msrC"
"Klebsiella.aerogenes.PTR","ARO.3000967TEM.104"
"Klebsiella.aerogenes.PTR","ARO.3003047qacB"
"Klebsiella.aerogenes.PTR","ARO.3002875dfrE"
"Klebsiella.aerogenes.PTR","ARO.3004122Klebsiella"
"Klebsiella.aerogenes.PTR","ARO.3000194tetW"
"Klebsiella.aerogenes.PTR","ARO.3003056smeE"
"Klebsiella.aerogenes.PTR","ARO.3004041Klebsiella"
"Klebsiella.aerogenes.PTR","ARO.3000900TEM.30"
"Klebsiella.aerogenes.PTR","ARO.3000999TEM.135"
"Klebsiella.aerogenes.PTR","ARO.3000873TEM.1"
"Klebsiella.aerogenes.PTR","ARO.3001015TEM.148"
"Klebsiella.aerogenes.PTR","ARO.3000186tetM"
"Klebsiella.aerogenes.PTR","ARO.3000501Nocardia"
"Klebsiella.aerogenes.PTR","ARO.3004580Klebsiella"
"Klebsiella.aerogenes.PTR","ARO.3004583Klebsiella"
"Klebsiella.aerogenes.PTR","ARO.3000263marA"
"Klebsiella.aerogenes.PTR","ARO.3000828baeR"
"Klebsiella.aerogenes.PTR","ARO.3000491acrD"
"Klebsiella.aerogenes.PTR","ARO.3000508gadX"
"Klebsiella.aerogenes.PTR","ARO.3000795mdtE"
"Klebsiella.aerogenes.PTR","ARO.3000518CRP"
"Klebsiella.aerogenes.PTR","ARO.3003550mdtP"
"Klebsiella.aerogenes.PTR","ARO.3003549mdtO"
"Klebsiella.aerogenes.PTR","ARO.3003548mdtN"
"Klebsiella.aerogenes.PTR","ARO.3000829baeS"
"Klebsiella.aerogenes.PTR","ARO.3000027emrA"
"Klebsiella.aerogenes.PTR","ARO.3003576eptA"
"Klebsiella.aerogenes.PTR","ARO.3004612Escherichia"
"Klebsiella.aerogenes.PTR","ARO.3004597Klebsiella"
"Klebsiella.aerogenes.PTR","ARO.3000412sul2"
"Klebsiella.aerogenes.PTR","ARO.3000300lsaA"
"Klebsiella.aerogenes.PTR","ARO.3000984TEM.122"
"Klebsiella.aerogenes.PTR","ARO.3000990TEM.128"
"Klebsiella.aerogenes.PTR","ARO.3000391norA"
"Klebsiella.aerogenes.PTR","ARO.3000988TEM.126"
"Klebsiella.aerogenes.PTR","ARO.3000026mepA"
"Klebsiella.aerogenes.PTR","ARO.3002628aad.6."
"Klebsiella.aerogenes.PTR","ARO.3000565tet.38."
"Klebsiella.aerogenes.PTR","ARO.3001004TEM.141"
"Klebsiella.aerogenes.PTR","ARO.3000832evgA"
"Klebsiella.aerogenes.PTR","ARO.3000676H.NS"
"Klebsiella.aerogenes.PTR","ARO.3000830cpxA"
"Klebsiella.aerogenes.PTR","ARO.3000815mgrA"
"Klebsiella.aerogenes.PTR","ARO.3002641APH.3...Ia"
"Klebsiella.aerogenes.PTR","ARO.3004572Staphylococcys"
"Klebsiella.aerogenes.PTR","ARO.3003773Clostridium"
"Klebsiella.aerogenes.PTR","ARO.3000215mecR1"
"Klebsiella.aerogenes.PTR","ARO.3000621PC1"
"Klebsiella.aerogenes.PTR","ARO.3001329mdtG"
"Klebsiella.aerogenes.PTR","ARO.3003730Bifidobacteria"
"Klebsiella.aerogenes.PTR","ARO.3002647APH.3...IIIa"
"Klebsiella.aerogenes.PTR","ARO.3001327mdtK"
"Klebsiella.aerogenes.PTR","ARO.3003838gadW"
"Klebsiella.aerogenes.PTR","ARO.3000254emrY"
"Klebsiella.aerogenes.PTR","ARO.3000206emrK"
"Klebsiella.aerogenes.PTR","ARO.3004667Staphylococcus"
"Klebsiella.aerogenes.PTR","ARO.3000924TEM.55"
"Klebsiella.aerogenes.PTR","ARO.3004042Enterobacter"
"Klebsiella.aerogenes.PTR","ARO.3002830vgaALC"
"Klebsiella.aerogenes.PTR","ARO.3001030TEM.164"
"Klebsiella.aerogenes.PTR","ARO.3003922oqxA"
"Klebsiella.aerogenes.PTR","ARO.3003923oqxB"
"Klebsiella.aerogenes.PTR","ARO.3002804FosA2"
"Klebsiella.aerogenes.PTR","ARO.3001029TEM.163"
"Klebsiella.aerogenes.PTR","ARO.3001032TEM.166"
"Klebsiella.aerogenes.PTR","ARO.3000237tolC"
"Klebsiella.aerogenes.PTR","ARO.3004611Escherichia"
"Klebsiella.aerogenes.PTR","ARO.3003905ANT.4...Ib"
"Klebsiella.aerogenes.PTR","ARO.3000903TEM.33"
"Klebsiella.aerogenes.PTR","ARO.3001041TEM.176"
"Klebsiella.aerogenes.PTR","ARO.3002597AAC.6...Ie.APH.2....Ia"
"Klebsiella.aerogenes.PTR","ARO.3001394TEM.217"
"Klebsiella.aerogenes.PTR","ARO.3003949efrB"
"Klebsiella.aerogenes.PTR","ARO.3000410sul1"
"Klebsiella.aerogenes.PTR","ARO.3001046TEM.186"
"Klebsiella.aerogenes.PTR","ARO.3001328Escherichia"
"Klebsiella.aerogenes.PTR","ARO.3000823ramA"
"Klebsiella.aerogenes.PTR","ARO.3001378TEM.201"
"Klebsiella.aerogenes.PTR","ARO.3001837ACT.15"
"Klebsiella.aerogenes.PTR","ARO.3000617mecA"
"Klebsiella.aerogenes.PTR","ARO.3000904TEM.34"
"Klebsiella.aerogenes.PTR","ARO.3001383TEM.206"
"Klebsiella.aerogenes.PTR","ARO.3001384TEM.207"
"Klebsiella.aerogenes.PTR","ARO.3001385TEM.208"
"Klebsiella.aerogenes.PTR","ARO.3001386TEM.209"
"Klebsiella.aerogenes.PTR","ARO.3001393TEM.216"
"Klebsiella.aerogenes.PTR","ARO.3001838ACT.17"
"Klebsiella.aerogenes.PTR","ARO.3001839ACT.18"
"Klebsiella.aerogenes.PTR","ARO.3001847ACT.27"
"Klebsiella.aerogenes.PTR","ARO.3001852ACT.32"
"Klebsiella.aerogenes.PTR","ARO.3003158TEM.220"
"Klebsiella.aerogenes.PTR","ARO.3001391TEM.214"
"Klebsiella.aerogenes.PTR","ARO.3003209FosA5"
"Klebsiella.aerogenes.PTR","ARO.3004111FosA6"
"Klebsiella.aerogenes.PTR","ARO.3004442tet.W.N.W."
"Klebsiella.aerogenes.PTR","ARO.3000378MexB"
"Klebsiella.aerogenes.PTR","ARO.3000180tetA.P."
"Klebsiella.aerogenes.PTR","ARO.3000195tetB.P."
"Klebsiella.aerogenes.PTR","ARO.3001855ACT.35"
"Klebsiella.aerogenes.PTR","ARO.3000250ErmC"
"Klebsiella.aerogenes.PTR","ARO.3000190tetO"
"Klebsiella.aerogenes.PTR","ARO.3000596ErmX"
"Klebsiella.aerogenes.PTR","ARO.3002829vgaA"
"Klebsiella.aerogenes.PTR","ARO.3004290Escherichia"
"Klebsiella.aerogenes.PTR","ARO.3004480Bifidobacterium"
